NIST Control (source),NIST Catalog,NIST Release,Relationship,Equivalence,KSI ID,KSI Name,KSI Family,KSI Family Name
CA-7.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-EIS,Enforcing Intended State,CNA,Cloud Native Architecture
CA-7.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MIT,Mitigating Supply Chain Risk,SCR,Supply Chain Risk
CA-9,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-MAT,Minimizing Attack Surface,CNA,Cloud Native Architecture
CA-9,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-RNT,Restricting Network Traffic,CNA,Cloud Native Architecture
CA-9,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-ULN,Using Logical Networking,CNA,Cloud Native Architecture
CM-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-RMV,Redeploying vs Modifying,CMT,Change Management
CM-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-DFP,Defining Functionality and Privileges,CNA,Cloud Native Architecture
CM-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-IBP,Implementing Best Practices,CNA,Cloud Native Architecture
CM-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-EVC,Evaluating Configurations,MLA,"Monitoring, Logging, and Auditing"
CM-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ACM,Automating Configuration Management,SVC,Service Configuration
CM-2.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-GIV,Generating Inventories,PIY,Policy and Inventory
CM-2.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ACM,Automating Configuration Management,SVC,Service Configuration
CM-2.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-VRI,Validating Resource Integrity,SVC,Service Configuration
CM-2.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ABO,Aligning Backups with Objectives,RPL,Recovery Planning
CM-2.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ACM,Automating Configuration Management,SVC,Service Configuration
CM-2.7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
CM-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-LMC,Logging Changes,CMT,Change Management
CM-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-RMV,Redeploying vs Modifying,CMT,Change Management
CM-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-RVP,Reviewing Change Procedures,CMT,Change Management
CM-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-VTD,Validating Throughout Deployment,CMT,Change Management
CM-3.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-LMC,Logging Changes,CMT,Change Management
CM-3.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-RVP,Reviewing Change Procedures,CMT,Change Management
CM-3.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-VTD,Validating Throughout Deployment,CMT,Change Management
CM-3.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-RVP,Reviewing Change Procedures,CMT,Change Management
CM-3.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RSD,Reviewing Security in the SDLC,PIY,Policy and Inventory
CM-4.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-LMC,Logging Changes,CMT,Change Management
CM-4.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-VTD,Validating Throughout Deployment,CMT,Change Management
CM-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-RMV,Redeploying vs Modifying,CMT,Change Management
CM-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-RVP,Reviewing Change Procedures,CMT,Change Management
CM-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
CM-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-LMC,Logging Changes,CMT,Change Management
CM-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-RMV,Redeploying vs Modifying,CMT,Change Management
CM-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-EVC,Evaluating Configurations,MLA,"Monitoring, Logging, and Auditing"
CM-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ACM,Automating Configuration Management,SVC,Service Configuration
CM-7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-RMV,Redeploying vs Modifying,CMT,Change Management
CM-7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
CM-7.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-RVP,Reviewing Change Procedures,CMT,Change Management
CM-7.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-RNT,Restricting Network Traffic,CNA,Cloud Native Architecture
CM-7.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ACM,Automating Configuration Management,SVC,Service Configuration
CM-7.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-EIS,Evaluating and Improving Security,SVC,Service Configuration
CM-7.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
CM-7.5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
CM-7.5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-GIV,Generating Inventories,PIY,Policy and Inventory
CM-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-GIV,Generating Inventories,PIY,Policy and Inventory
CM-8.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-RMV,Redeploying vs Modifying,CMT,Change Management
CM-8.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-GIV,Generating Inventories,PIY,Policy and Inventory
CM-8.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-LMC,Logging Changes,CMT,Change Management
CM-8.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-VRI,Validating Resource Integrity,SVC,Service Configuration
CM-9,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-RVP,Reviewing Change Procedures,CMT,Change Management
CM-9,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
CM-9,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
CM-12,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-GIV,Generating Inventories,PIY,Policy and Inventory
CM-12.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-GIV,Generating Inventories,PIY,Policy and Inventory
CM-12.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-EIS,Evaluating and Improving Security,SVC,Service Configuration
CP-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
CP-2.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RIS,Reviewing Investments in Security,PIY,Policy and Inventory
CP-2.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
