NIST Control (source),NIST Catalog,NIST Release,Relationship,Equivalence,KSI ID,KSI Name,KSI Family,KSI Family Name
IR-6.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RIR,Reviewing Incident Response Procedures,INR,Incident Response
IR-6.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RIR,Reviewing Incident Response Procedures,INR,Incident Response
IR-6.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MON,Monitoring Supply Chain Risk,SCR,Supply Chain Risk
IR-7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RIR,Reviewing Incident Response Procedures,INR,Incident Response
IR-7.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RIR,Reviewing Incident Response Procedures,INR,Incident Response
IR-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-AAR,Generating After Action Reports,INR,Incident Response
IR-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RIR,Reviewing Incident Response Procedures,INR,Incident Response
IR-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RPI,Reviewing Past Incidents,INR,Incident Response
IR-8.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RIR,Reviewing Incident Response Procedures,INR,Incident Response
MA-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-LMC,Logging Changes,CMT,Change Management
MA-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-EIS,Evaluating and Improving Security,SVC,Service Configuration
PL-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RSD,Reviewing Security in the SDLC,PIY,Policy and Inventory
PL-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-EIS,Evaluating and Improving Security,SVC,Service Configuration
PL-9,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ACM,Automating Configuration Management,SVC,Service Configuration
PL-10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-IBP,Implementing Best Practices,CNA,Cloud Native Architecture
PL-10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ACM,Automating Configuration Management,SVC,Service Configuration
PM-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RIS,Reviewing Investments in Security,PIY,Policy and Inventory
PM-7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RSD,Reviewing Security in the SDLC,PIY,Policy and Inventory
PS-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
PS-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
PS-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
PS-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
PS-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
PS-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
PS-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SUS,Responding to Suspicious Activity,IAM,Identity and Access Management
PS-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
PS-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
PS-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CED-RAT,Reviewing All Training,CED,Cybersecurity Education
PS-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
PS-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
PS-7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MON,Monitoring Supply Chain Risk,SCR,Supply Chain Risk
PS-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SUS,Responding to Suspicious Activity,IAM,Identity and Access Management
PS-9,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
RA-3.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MIT,Mitigating Supply Chain Risk,SCR,Supply Chain Risk
RA-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MON,Monitoring Supply Chain Risk,SCR,Supply Chain Risk
RA-5.5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
RA-5.5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SNU,Securing Non-User Authentication,IAM,Identity and Access Management
RA-5.11,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RVD,Reviewing Vulnerability Disclosures,PIY,Policy and Inventory
SA-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RIS,Reviewing Investments in Security,PIY,Policy and Inventory
SA-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RIS,Reviewing Investments in Security,PIY,Policy and Inventory
SA-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RSD,Reviewing Security in the SDLC,PIY,Policy and Inventory
SA-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ACM,Automating Configuration Management,SVC,Service Configuration
SA-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RSD,Reviewing Security in the SDLC,PIY,Policy and Inventory
SA-9,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MIT,Mitigating Supply Chain Risk,SCR,Supply Chain Risk
SA-9,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MON,Monitoring Supply Chain Risk,SCR,Supply Chain Risk
SA-10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MIT,Mitigating Supply Chain Risk,SCR,Supply Chain Risk
SA-11,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MIT,Mitigating Supply Chain Risk,SCR,Supply Chain Risk
SA-15.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MIT,Mitigating Supply Chain Risk,SCR,Supply Chain Risk
SA-22,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MIT,Mitigating Supply Chain Risk,SCR,Supply Chain Risk
SC-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
SC-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-ULN,Using Logical Networking,CNA,Cloud Native Architecture
SC-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
SC-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RSD,Reviewing Security in the SDLC,PIY,Policy and Inventory
SC-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-PRR,Preventing Residual Risk,SVC,Service Configuration
SC-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-RVP,Reviewing Protections,CNA,Cloud Native Architecture
SC-7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-ULN,Using Logical Networking,CNA,Cloud Native Architecture
SC-7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-EIS,Evaluating and Improving Security,SVC,Service Configuration
SC-7.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-MAT,Minimizing Attack Surface,CNA,Cloud Native Architecture
SC-7.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-MAT,Minimizing Attack Surface,CNA,Cloud Native Architecture
SC-7.5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-MAT,Minimizing Attack Surface,CNA,Cloud Native Architecture
SC-7.5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-RNT,Restricting Network Traffic,CNA,Cloud Native Architecture
SC-7.7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-ULN,Using Logical Networking,CNA,Cloud Native Architecture
SC-7.8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-MAT,Minimizing Attack Surface,CNA,Cloud Native Architecture
SC-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-MAT,Minimizing Attack Surface,CNA,Cloud Native Architecture
SC-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-ULN,Using Logical Networking,CNA,Cloud Native Architecture
SC-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-SIN,Securing Information,SVC,Service Configuration
SC-8.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-SIN,Securing Information,SVC,Service Configuration
SC-10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-MAT,Minimizing Attack Surface,CNA,Cloud Native Architecture
SC-10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-ULN,Using Logical Networking,CNA,Cloud Native Architecture
SC-12,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ASM,Automating Secret Management,SVC,Service Configuration
SC-13,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-SIN,Securing Information,SVC,Service Configuration
SC-13,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-VRI,Validating Resource Integrity,SVC,Service Configuration
SC-17,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ASM,Automating Secret Management,SVC,Service Configuration
SC-18,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RSD,Reviewing Security in the SDLC,PIY,Policy and Inventory
SC-18,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MIT,Mitigating Supply Chain Risk,SCR,Supply Chain Risk
SC-20,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
SC-20,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-SIN,Securing Information,SVC,Service Configuration
SC-21,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
SC-21,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-SIN,Securing Information,SVC,Service Configuration
SC-22,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
SC-22,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-SIN,Securing Information,SVC,Service Configuration
SC-23,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-APM,Adopting Passwordless Methods,IAM,Identity and Access Management
SC-23,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
SC-23,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
SC-23,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-SIN,Securing Information,SVC,Service Configuration
SC-23,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-VCM,Validating Communications,SVC,Service Configuration
SC-23,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-VRI,Validating Resource Integrity,SVC,Service Configuration
SC-28,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-SIN,Securing Information,SVC,Service Configuration
SC-28.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-SIN,Securing Information,SVC,Service Configuration
SC-39,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
SC-39,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
SC-39,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-EIS,Evaluating and Improving Security,SVC,Service Configuration
SI-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-VTD,Validating Throughout Deployment,CMT,Change Management
SI-2.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-EIS,Evaluating and Improving Security,SVC,Service Configuration
SI-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CMT-RMV,Redeploying vs Modifying,CMT,Change Management
SI-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-DFP,Defining Functionality and Privileges,CNA,Cloud Native Architecture
SI-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
SI-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-RVL,Reviewing Logs,MLA,"Monitoring, Logging, and Auditing"
SI-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-EIS,Evaluating and Improving Security,SVC,Service Configuration
SI-4.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-OSM,Operating SIEM Capability,MLA,"Monitoring, Logging, and Auditing"
SI-4.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-LET,Logging Event Types,MLA,"Monitoring, Logging, and Auditing"
SI-4.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-OSM,Operating SIEM Capability,MLA,"Monitoring, Logging, and Auditing"
SI-4.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-RVL,Reviewing Logs,MLA,"Monitoring, Logging, and Auditing"
SI-4.5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RIR,Reviewing Incident Response Procedures,INR,Incident Response
SI-4.5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-LET,Logging Event Types,MLA,"Monitoring, Logging, and Auditing"
SI-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MON,Monitoring Supply Chain Risk,SCR,Supply Chain Risk
SI-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ACM,Automating Configuration Management,SVC,Service Configuration
SI-7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-VRI,Validating Resource Integrity,SVC,Service Configuration
SI-7.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MIT,Mitigating Supply Chain Risk,SCR,Supply Chain Risk
SI-7.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-VCM,Validating Communications,SVC,Service Configuration
SI-7.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-VRI,Validating Resource Integrity,SVC,Service Configuration
SI-7.7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-EVC,Evaluating Configurations,MLA,"Monitoring, Logging, and Auditing"
SI-7.7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-LET,Logging Event Types,MLA,"Monitoring, Logging, and Auditing"
SI-7.7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-OSM,Operating SIEM Capability,MLA,"Monitoring, Logging, and Auditing"
SI-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-RNT,Restricting Network Traffic,CNA,Cloud Native Architecture
SI-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-RVP,Reviewing Protections,CNA,Cloud Native Architecture
SI-8.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-RVP,Reviewing Protections,CNA,Cloud Native Architecture
SI-10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-MAT,Minimizing Attack Surface,CNA,Cloud Native Architecture
SI-10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RSD,Reviewing Security in the SDLC,PIY,Policy and Inventory
SI-11,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-MAT,Minimizing Attack Surface,CNA,Cloud Native Architecture
SI-11,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-ALA,Authorizing Log Access,MLA,"Monitoring, Logging, and Auditing"
SI-11,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RSD,Reviewing Security in the SDLC,PIY,Policy and Inventory
SI-12,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ABO,Aligning Backups with Objectives,RPL,Recovery Planning
SI-12.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-RUD,Removing Unwanted Data,SVC,Service Configuration
SI-16,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-MAT,Minimizing Attack Surface,CNA,Cloud Native Architecture
SI-16,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RSD,Reviewing Security in the SDLC,PIY,Policy and Inventory
SI-18.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-RUD,Removing Unwanted Data,SVC,Service Configuration
SR-2.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RIS,Reviewing Investments in Security,PIY,Policy and Inventory
SR-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MIT,Mitigating Supply Chain Risk,SCR,Supply Chain Risk
SR-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MON,Monitoring Supply Chain Risk,SCR,Supply Chain Risk
SR-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MIT,Mitigating Supply Chain Risk,SCR,Supply Chain Risk
SR-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MON,Monitoring Supply Chain Risk,SCR,Supply Chain Risk
SR-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MON,Monitoring Supply Chain Risk,SCR,Supply Chain Risk
SR-10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ACM,Automating Configuration Management,SVC,Service Configuration
SR-10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-EIS,Evaluating and Improving Security,SVC,Service Configuration
SR-10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-VRI,Validating Resource Integrity,SVC,Service Configuration
SR-11.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CED-RAT,Reviewing All Training,CED,Cybersecurity Education
